Date,Open,High,Low,Close,Volume
29-Oct-15,65.34,65.73,64.98,65.56,4958976
28-Oct-15,65.86,66.02,64.96,65.64,7091306
27-Oct-15,65.50,65.62,64.83,65.41,6150040
26-Oct-15,65.14,66.11,65.14,65.69,6882718
23-Oct-15,66.54,66.60,64.46,65.26,10517736
22-Oct-15,66.44,66.72,65.29,66.20,9294752
21-Oct-15,66.32,66.61,65.92,66.24,5505722
20-Oct-15,66.52,66.68,65.98,66.18,9104196
19-Oct-15,65.86,66.76,65.56,66.60,12587856
16-Oct-15,64.75,65.30,64.44,65.24,9321616
15-Oct-15,63.61,64.58,63.48,64.40,10764798
14-Oct-15,63.00,63.30,62.70,62.92,6509064
13-Oct-15,63.00,63.27,62.80,62.90,6355354
12-Oct-15,62.60,63.55,62.51,63.22,5448910
9-Oct-15,62.28,62.67,62.04,62.47,6940522
8-Oct-15,61.46,62.62,61.34,62.46,7622644
7-Oct-15,61.80,62.22,60.50,61.05,10223060
6-Oct-15,62.14,62.40,61.30,61.60,7619826
5-Oct-15,62.92,63.24,62.04,62.14,9647392
2-Oct-15,61.04,62.60,60.78,62.60,9114408
1-Oct-15,61.58,61.97,60.64,61.92,8994220
30-Sep-15,60.37,61.56,60.37,61.48,9437808
29-Sep-15,61.00,61.04,59.52,59.84,14414414
28-Sep-15,62.25,62.38,60.42,61.07,16450704
25-Sep-15,61.56,62.98,61.35,62.50,36968186
24-Sep-15,57.15,57.58,56.75,57.40,14352696
23-Sep-15,57.98,58.30,57.60,57.72,9055706
22-Sep-15,57.62,58.08,57.19,57.98,7555490
21-Sep-15,57.84,58.54,57.38,58.28,8738558
18-Sep-15,57.08,57.82,56.88,57.52,18614998
17-Sep-15,57.62,58.40,57.28,57.64,7959186
16-Sep-15,57.16,57.96,56.92,57.79,8103436
15-Sep-15,55.95,57.04,55.40,56.92,7699312
14-Sep-15,55.76,56.03,55.57,55.94,6833274
11-Sep-15,55.12,55.92,55.00,55.91,5589552
10-Sep-15,54.83,55.52,54.47,55.19,7336658
9-Sep-15,56.36,56.50,54.80,54.93,6289910
8-Sep-15,55.73,55.94,55.11,55.88,5494640
4-Sep-15,54.61,55.22,54.47,54.84,7094886
3-Sep-15,55.62,56.04,55.20,55.42,6052048
2-Sep-15,55.08,55.39,54.60,55.35,8524274
1-Sep-15,54.49,54.92,54.02,54.32,9317826
31-Aug-15,56.20,56.24,55.62,55.88,7060338
28-Aug-15,56.30,56.50,55.82,56.25,7498608
27-Aug-15,55.18,56.34,54.82,56.31,13022564
26-Aug-15,53.25,54.50,51.99,54.38,15121422
25-Aug-15,53.64,53.66,51.74,51.76,13513908
24-Aug-15,50.13,53.69,47.25,51.94,19821264
21-Aug-15,55.74,55.83,53.42,53.44,15877724
20-Aug-15,56.86,57.22,56.12,56.15,6527500
19-Aug-15,57.00,58.02,56.78,57.48,6216434
18-Aug-15,57.56,57.84,57.30,57.41,3671450
17-Aug-15,57.06,57.56,56.54,57.49,3917460
14-Aug-15,56.80,57.28,56.56,57.18,4686134
13-Aug-15,56.64,57.26,56.48,56.80,5907732
12-Aug-15,56.77,56.88,55.32,56.53,7174684
11-Aug-15,57.07,57.50,56.82,57.23,5107412
10-Aug-15,57.70,58.08,57.42,57.68,4613264
7-Aug-15,57.36,57.48,56.55,57.26,5907890
6-Aug-15,58.50,58.75,57.18,57.56,6211466
5-Aug-15,58.30,58.86,58.18,58.38,6853064
4-Aug-15,57.48,57.96,57.16,57.88,5228992
3-Aug-15,57.76,58.00,56.80,57.42,4991998
31-Jul-15,57.75,57.97,57.42,57.61,5078650
30-Jul-15,57.48,57.70,56.97,57.50,5594062
29-Jul-15,56.79,57.67,56.75,57.46,6839892
28-Jul-15,56.04,56.96,55.92,56.74,6948236
27-Jul-15,56.20,56.46,55.48,55.86,6648060
24-Jul-15,57.09,57.09,56.24,56.50,5967242
23-Jul-15,57.25,57.35,56.91,57.00,6714788
22-Jul-15,56.44,57.11,56.44,57.04,5954128
21-Jul-15,56.49,56.78,56.36,56.50,4626320
20-Jul-15,56.64,56.78,56.41,56.56,5978202
